#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      249.2   109.1    93.8   150.7   162.9   230.5   265.8   287.4   304.0   324.5   353.3   399.6   520.0  1191.7  3922.1  29902.0    30000  1777496679018  1777496689154
read      245.8   114.0   101.3   148.5   160.5   226.9   262.2   284.0   300.6   320.9   349.2   395.5   506.7  1171.6  4012.0  29975.5    30005  1777496690669  1777496700790
read      261.4   106.5    93.8   152.8   166.6   242.5   280.3   303.6   320.8   343.9   374.2   427.8   556.3   950.8  3212.8  30053.0    30010  1777496702304  1777496712406
read      246.7   108.4   101.3   149.9   161.4   226.8   261.8   283.9   300.9   322.1   353.2   401.3   526.7  1093.5  3703.8  30132.4    30015  1777496713922  1777496724044
read      245.1   105.7   101.3   148.8   159.7   224.7   260.2   283.0   300.5   322.2   352.8   401.7   532.9  1027.9  3201.4  29928.1    30020  1777496725556  1777496735659
read      247.6   103.8    93.8   151.3   163.4   229.6   264.1   285.2   301.2   321.0   349.7   396.6   513.4   849.7  4069.7  30024.6    30025  1777496737173  1777496747280
read      247.7   104.1    93.8   149.2   161.1   229.4   265.0   286.7   303.4   324.4   354.6   402.0   518.5   836.0  3593.4  30058.9    30030  1777496748798  1777496758900
read      249.0   110.8    93.8   150.6   162.7   230.2   265.5   287.3   304.2   325.1   354.5   401.5   515.4  1019.1  3920.9  29995.1    30035  1777496760412  1777496770513
read      243.2   109.4   101.3   149.1   160.2   224.4   258.5   279.7   296.1   317.3   345.9   393.9   507.4   995.6  4119.4  30090.5    30040  1777496772027  1777496782135
read      245.6   115.3    93.8   150.0   161.5   226.4   260.8   282.2   298.4   319.4   348.0   397.2   512.5  1034.3  4607.7  30010.6    30045  1777496783650  1777496793754
read      246.5   102.6   101.3   150.9   162.7   228.3   263.0   284.5   300.9   321.1   350.6   396.6   508.0   909.4  3230.0  30129.8    30050  1777496795271  1777496805391
read      245.9   111.1   101.3   150.6   162.6   228.7   262.9   283.7   299.0   318.7   345.8   390.4   497.1   857.9  4097.7  30119.3    30055  1777496806904  1777496817018
read      251.6   101.2   101.3   152.1   164.7   234.0   269.4   291.1   308.0   328.7   357.6   402.9   513.9   797.3  3213.7  30077.9    30060  1777496818530  1777496828629
read      251.0   103.5    93.8   153.2   165.7   233.2   268.2   289.7   306.2   326.4   354.3   399.6   509.5   946.4  3360.7  30035.7    30065  1777496830141  1777496840245
read      245.8    96.3    93.8   149.2   162.0   229.5   264.4   285.5   301.3   320.2   346.7   391.1   496.9   798.0  3035.6  30106.1    30070  1777496841759  1777496851861
read      246.6    95.6    93.8   148.3   161.5   231.0   266.0   286.9   302.4   320.8   347.0   391.2   496.4   745.4  3152.2  30004.4    30075  1777496853375  1777496863475
read      252.4   112.5    93.8   151.7   165.3   234.2   269.5   290.7   307.1   327.3   356.1   402.0   518.2   971.6  3905.9  30090.0    30080  1777496864988  1777496875106
read      255.0    96.7    86.8   154.5   168.1   237.6   273.3   295.1   312.2   333.2   361.6   406.8   516.6   745.4  2770.5  30019.1    30085  1777496876621  1777496886721
read      241.6    94.8    93.8   145.5   157.9   224.5   259.1   280.1   296.0   316.6   344.5   392.0   498.8   737.9  3086.9  30173.5    30090  1777496888233  1777496898336
read      243.2   107.7    93.8   142.9   155.1   224.3   260.5   282.7   299.6   320.6   351.0   401.2   520.8   950.2  3444.8  30066.3    30095  1777496899849  1777496909949
read      248.8   111.7    93.8   143.6   156.0   227.7   266.8   291.0   309.8   333.0   365.3   420.0   540.0   935.4  3701.4  29964.6    30100  1777496911463  1777496921562
read      255.6   151.6    86.8   142.0   155.2   230.6   270.1   294.5   313.6   337.5   370.4   430.9   611.4  1880.7  4833.3  30113.3    30105  1777496923075  1777496933180
read      283.2   152.9    86.8   157.7   172.5   253.0   296.2   323.8   345.9   374.7   416.7   491.7   747.2  1727.3  4584.1  30097.2    30110  1777496934695  1777496944808
read      273.9   134.0    86.8   157.5   172.6   249.6   290.7   316.0   336.4   361.9   396.8   458.5   625.3  1392.8  4203.0  30157.6    30115  1777496946323  1777496956426
read      278.9   137.3    86.8   157.1   172.2   251.4   293.5   319.8   341.4   368.9   406.6   479.1   708.2  1567.8  3815.4  30097.4    30120  1777496957943  1777496968048
read      313.2   255.6    93.8   154.3   170.8   260.2   309.5   342.0   369.3   405.8   466.2   592.2  1281.1  3453.3  5969.9  30142.8    30125  1777496969564  1777496979667
read      288.9   150.4   101.3   157.2   173.2   256.8   301.7   330.7   354.2   384.8   428.1   509.8   802.2  1803.4  3866.0  30181.9    30130  1777496981186  1777496991291
