Random waveform, random seed
Total number of intervals = 120 (94492, 75702, 108157, 97292, 82586, 102414, 64625, 108917, 65311, 82411, 97478, 59148, 25871, 82267, 85121, 78275, 93365, 32493, 86335, 98771, 63837, 85087, 20164, 32075, 92919, 90471, 101257, 57596, 93616, 38455, 16991, 52483, 48035, 51981, 16615, 22405, 6221, 52357, 33587, 102743, 43847, 25550, 54141, 92192, 47502, 20155, 92016, 31037, 83597, 73328, 5709, 66191, 77391, 41090, 94537, 97285, 75043, 64281, 100317, 103366, 8747, 93070, 7777, 71674, 25727, 75811, 45587, 66621, 54926, 61927, 15160, 46178, 37539, 55477, 68443, 13373, 36305, 101338, 45692, 43019, 67576, 43711, 40541, 103962, 53923, 109281, 94486, 70083, 62670, 14548, 45531, 67701, 31547, 33019, 101179, 106720, 103209, 101342, 9358, 74265, 107553, 23238, 43729, 23070, 58977, 102534, 95291, 63613, 108198, 59914, 94285, 51484, 58240, 6575, 21644, 29066, 20445, 31765, 22801, 45688)
Average QPS expected = 61380
Timestamp start: 1778405966914
Timestamp end: 1778407767240

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      451.4   594.5    93.8   177.9   192.2   287.1   343.5   379.6   411.6   475.1   792.0  1522.7  3160.9  6844.6  8300.4  94468.9    94492
read      277.9    90.5    93.8   171.3   183.7   265.2   312.1   335.5   350.5   366.9   386.7   414.3   471.9   636.8  2625.4  75715.5    75702
read      281.2    90.7    93.8   175.1   188.2   268.8   309.9   332.9   348.6   367.1   389.4   421.5   498.9   710.3  2207.0 108087.2   108157
read      277.7    91.2    80.4   173.1   185.5   264.5   307.2   331.0   346.9   365.1   386.3   415.8   482.4   685.9  3017.8  97135.5    97292
read      277.5    88.4    86.8   172.0   184.4   264.7   310.5   334.5   350.0   366.9   386.9   414.4   471.3   611.3  1442.9  82449.9    82586
read      280.7    91.6    93.8   174.6   187.6   267.7   309.7   333.3   349.3   367.6   389.5   420.6   496.1   722.7  3004.6 102540.7   102414
read      278.6    89.7    86.8   171.6   184.1   268.8   315.5   336.9   350.5   365.4   383.1   406.0   464.5   614.1  2979.0  64703.1    64625
read      284.2    95.0    93.8   176.3   189.8   271.3   312.5   335.4   351.4   369.5   392.0   424.7   507.0   867.2  2940.3 108925.9   108917
read      282.9    84.3    93.8   174.7   188.2   273.1   318.9   340.3   354.4   369.3   388.2   414.5   472.1   640.9  2150.1  65250.2    65311
read      279.8    94.9    93.8   172.7   185.3   266.3   312.2   336.2   351.9   368.8   389.4   418.9   488.7   697.3  2393.7  82262.6    82411
