Random waveform, random seed
Total number of intervals = 120 (50743, 101740, 80103, 47192, 56470, 61811, 53372, 74652, 105961, 52858, 59666, 27778, 8609, 76884, 28135, 17160, 59292, 32178, 36925, 16495, 10067, 18690, 37347, 84844, 33244, 98419, 17969, 100409, 87181, 39555, 13992, 44795, 96683, 38165, 78602, 28698, 36257, 36414, 46995, 10436, 28010, 27628, 106133, 105838, 77314, 5311, 92386, 63965, 40911, 18396, 40749, 24552, 68991, 80390, 44727, 9164, 71344, 45973, 56968, 44047, 26602, 87300, 53918, 12980, 40013, 57389, 80205, 78152, 27663, 65869, 18991, 63689, 11256, 58635, 14337, 66060, 72158, 73359, 5013, 25037, 30357, 93435, 54642, 5000, 7737, 20999, 101740, 85177, 73005, 42070, 79090, 36329, 82315, 53514, 51769, 23473, 104285, 21768, 13474, 50291, 67853, 72479, 21541, 73407, 72807, 72190, 97526, 34816, 66101, 25974, 40180, 26426, 77855, 74917, 34262, 97576, 29247, 15951, 98320, 41562)
Average QPS expected = 51413
Timestamp start: 1778403534631
Timestamp end: 1778405334939

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      289.1   106.5    93.8   174.3   187.1   280.7   326.1   347.0   361.9   377.7   398.4   430.5   508.6   780.0  4067.8  50741.4    50743
read      293.9   147.7    93.8   172.9   185.5   268.9   315.2   341.4   360.5   382.5   411.6   467.4   700.9  1875.6  4178.0 101967.1   101740
read      276.0    86.3    93.8   169.5   181.8   262.5   309.4   333.5   349.1   366.2   386.5   415.0   479.6   637.7  1838.9  80022.0    80103
read      281.5    81.5    93.8   174.3   187.3   279.7   319.5   336.8   347.8   361.4   375.2   399.7   456.2   606.0  1948.6  47188.2    47192
read      286.6    91.9    93.8   174.6   188.3   279.1   323.2   342.8   356.3   370.2   389.3   417.7   502.0   870.2  2124.2  56494.3    56470
read      288.5    98.7    86.8   176.5   190.2   278.6   324.1   344.8   359.0   373.5   393.2   422.7   504.7   879.7  2883.6  61888.3    61811
read      288.3    93.4    86.8   176.3   189.8   281.9   324.6   343.6   356.7   370.3   389.3   418.3   507.2   895.8  2163.9  53306.9    53372
read      287.1   100.1    93.8   175.1   188.0   272.6   319.9   343.5   359.3   375.6   397.0   429.8   536.8   983.5  2934.0  74728.1    74652
read      293.9   102.6    86.8   178.3   192.2   278.2   322.2   346.5   364.3   384.2   408.0   450.7   583.2   939.1  2123.2 105910.5   105961
read      289.3    99.7    93.8   177.2   190.7   283.0   325.6   344.6   357.9   371.6   390.8   419.6   501.0   837.8  3525.3  52845.6    52858
read      288.3    94.0    93.8   175.8   189.2   279.0   324.9   345.7   359.9   374.2   394.4   424.9   508.0   805.5  2650.8  59583.9    59666
read      289.6    83.9    93.8   183.6   198.8   290.0   318.0   332.6   342.1   354.5   369.9   397.4   482.1   843.7  2951.1  27792.9    27778
read      260.0    72.6    93.8   182.9   198.0   257.1   276.0   287.5   294.8   305.3   317.7   340.7   400.4   638.1  3239.3   8611.3     8609
read      286.7   104.8    93.8   173.9   186.1   269.4   317.5   342.8   360.3   379.7   403.6   445.9   549.4   857.9  3115.2  76885.7    76884
read      284.2    78.7   101.3   183.8   198.3   286.6   313.6   326.9   336.3   345.8   361.5   382.9   437.1   604.6  2796.3  28135.3    28135
read      274.7    74.7   101.3   186.6   201.6   275.3   296.6   308.6   316.2   325.7   339.2   360.8   416.7   606.1  2859.8  17199.4    17160
read      286.4    93.5    86.8   173.9   185.9   275.1   322.5   344.7   360.2   376.6   398.4   432.4   518.6   755.1  2001.3  59295.5    59292
read      286.6    90.0    93.8   181.7   196.1   288.3   318.0   332.6   342.0   353.8   368.3   392.3   451.3   637.5  3569.6  32305.8    32178
read      291.3    89.3    93.8   181.1   195.5   290.9   324.7   340.6   351.7   364.9   381.0   406.4   489.2   795.8  2546.9  36932.2    36925
read      282.7    90.9    86.8   187.1   203.1   279.2   302.9   315.4   324.4   336.7   351.2   379.6   492.0  1122.9  3080.4  16535.8    16495
read      262.2    67.7   109.4   184.8   200.1   260.9   280.1   290.5   297.0   307.7   318.6   340.5   399.1   559.4  2196.2  10088.4    10067
read      283.3   124.9   101.3   187.5   202.6   281.1   305.4   317.4   326.8   338.2   352.0   374.6   449.8  1027.3  7322.0  18714.1    18690
read      291.8    82.9    93.8   180.8   194.7   290.8   326.4   343.4   355.8   369.2   387.6   415.0   485.5   692.5  2110.8  37276.6    37347
read      284.2    94.0    93.8   174.8   187.5   268.9   315.4   340.3   357.1   374.6   397.2   430.9   524.1   769.0  2170.9  84911.9    84844
read      285.0    77.6    93.8   181.5   195.8   287.8   317.9   332.4   341.6   353.0   367.3   389.9   437.8   555.2  1714.4  33312.8    33244
read      288.3   100.5    93.8   177.5   191.1   273.8   317.9   342.3   359.3   377.6   400.0   434.2   532.8   783.6  2223.6  98338.0    98419
read      277.2   122.7   101.3   186.5   201.9   276.8   298.4   310.0   317.3   327.2   340.2   362.0   420.2   658.7  6581.8  17932.5    17969
read      289.1   101.1    93.8   176.9   190.3   272.9   317.1   341.8   359.2   378.0   401.4   439.0   567.4   951.3  2603.5 100273.5   100409
read      281.4    97.8    86.8   174.6   187.3   267.2   312.4   336.8   353.1   370.6   392.2   423.1   497.7   718.2  2567.4  87220.2    87181
read      287.3    80.8    93.8   179.8   194.0   287.9   322.4   338.1   348.1   361.2   374.3   399.4   461.1   672.4  2292.2  39483.0    39555
read      271.6    88.7   101.3   187.8   203.2   270.8   291.6   302.7   310.9   319.1   333.2   352.8   409.7   547.0  3937.8  13995.2    13992
read      289.2    92.6    80.4   177.9   191.2   285.0   325.2   343.9   357.3   371.4   390.8   419.3   488.1   684.6  2940.5  44827.8    44795
read      279.9   101.2    86.8   174.7   187.2   266.1   309.4   333.6   350.1   368.4   390.2   421.1   491.4   689.9  2141.4  96641.0    96683
read      285.5    83.0    93.8   180.0   194.2   286.7   319.8   335.2   344.8   357.5   371.1   394.7   444.3   584.6  2705.1  38142.8    38165
read      277.8    95.6    93.8   172.5   184.6   264.2   310.5   334.5   350.1   367.0   387.1   415.1   476.8   637.2  2942.1  78493.9    78602
read      282.8    72.7    93.8   183.6   198.2   285.6   312.7   325.8   335.3   344.7   359.6   378.3   429.6   548.7  2468.8  28694.8    28698
read      285.8    77.4    93.8   179.9   193.7   286.5   319.8   335.9   346.0   359.5   373.5   398.5   454.5   577.0  2017.9  36251.7    36257
read      287.2    83.6    93.8   179.6   193.1   286.5   321.3   338.3   349.5   363.5   379.5   403.5   464.7   603.9  2147.1  36349.5    36414
read      477.4  9518.9    86.8   176.0   188.8   283.6   326.5   346.4   361.0   376.0   397.0   429.8   520.3  1532.4 573862.6  47096.7    46995
read      256.9    77.4   101.3   182.0   196.5   255.4   273.5   284.1   291.1   298.7   311.7   330.1   377.6   570.1  3106.5  10450.0    10436
read      282.8    81.1    93.8   180.1   194.1   284.4   313.4   328.0   338.0   348.7   364.9   388.4   439.8   549.3  2262.3  28060.9    28010
read      285.4    83.5   101.3   181.2   195.4   286.3   315.5   330.4   340.5   352.7   368.3   393.4   451.9   616.9  2760.2  27649.8    27628
read      301.0   118.1   101.3   177.6   191.5   279.4   325.2   351.4   370.4   393.7   425.7   488.9   683.7  1176.9  2455.3 106168.5   106133
read      283.5    93.5    86.8   175.7   188.8   270.2   312.6   336.1   352.5   370.8   393.5   426.6   512.9   771.4  2245.4 105826.4   105838
read      278.1    89.6    93.8   171.8   184.0   265.4   312.1   335.7   351.0   367.4   387.4   415.2   475.4   630.5  2001.5  77396.3    77314
read      245.3   114.5   101.3   177.9   190.6   239.6   256.8   266.9   273.2   282.6   293.6   314.6   373.2  1252.5  5555.7   5308.7     5311
read      278.2    84.3    86.8   173.6   186.1   265.3   308.3   332.1   347.9   365.9   387.0   416.7   483.7   660.3  1489.6  92327.9    92386
read      279.0    88.4    93.8   172.2   184.6   269.6   315.8   337.0   350.6   365.6   383.5   407.6   466.5   616.3  2168.2  63895.0    63965
read      282.3    77.9    86.8   177.3   190.7   283.5   318.3   334.1   344.1   356.7   370.4   393.6   438.4   549.5  2159.9  40963.7    40911
read      272.6    75.0   101.3   184.0   198.6   273.5   295.5   307.5   315.2   324.3   338.1   358.8   407.5   551.9  3245.8  18351.0    18396
read      288.3    87.0    93.8   177.2   190.3   287.0   324.7   342.3   354.9   368.7   387.1   414.1   478.0   617.5  2133.2  40725.3    40749
read      279.3    78.3    93.8   183.1   197.5   281.6   306.4   318.1   327.2   337.6   349.3   370.8   426.1   594.9  2842.4  24565.7    24552
read      278.8    85.9    93.8   172.4   184.5   267.8   314.7   337.0   351.4   366.9   385.7   410.8   468.5   623.3  1969.3  69018.9    68991
read      277.3    91.8    93.8   172.0   184.1   263.7   309.9   333.9   349.3   366.2   386.1   413.8   474.6   659.7  2431.3  80270.4    80390
read      282.8    81.3    93.8   177.0   190.3   282.5   319.7   336.1   346.3   359.4   372.7   396.3   446.3   561.1  2654.5  44708.3    44727
read      253.2    64.3   101.3   182.1   196.1   251.4   269.0   278.3   286.0   293.7   305.7   322.5   373.4   582.5  2785.6   9158.1     9164
read      277.6    85.4    93.8   171.9   184.0   265.9   312.8   335.6   350.2   366.1   385.0   411.0   469.1   601.3  1926.4  71306.9    71344
read      283.6    86.5    93.8   176.6   189.9   281.8   320.5   337.5   348.4   361.8   375.7   399.9   457.8   614.7  2925.0  46128.1    45973
read      281.1    85.4    93.8   173.6   186.0   274.1   318.8   338.7   351.8   366.0   383.5   407.4   467.9   596.4  2289.6  56909.5    56968
read      283.2    89.7    93.8   176.3   189.7   281.6   319.2   336.1   346.7   360.6   374.5   400.1   460.7   598.5  2731.7  43972.1    44047
read      277.5    74.5    86.8   181.2   195.2   280.9   306.4   318.1   327.2   337.5   348.6   369.6   417.4   533.2  2425.6  26633.1    26602
read      275.5    88.1    86.8   171.4   183.4   261.9   306.6   330.8   346.7   364.5   384.9   413.2   472.7   645.2  2328.2  87350.2    87300
read      280.2    86.2    86.8   174.1   186.6   275.3   318.2   337.0   349.0   362.9   378.0   401.0   453.9   560.0  2297.4  53929.4    53918
read      258.2    68.3   101.3   182.3   196.5   258.6   276.6   286.8   293.2   301.3   313.0   330.4   374.4   531.4  2641.8  13013.2    12980
read      288.4    81.6    86.8   178.2   191.6   287.8   324.4   341.5   353.6   367.1   384.8   410.9   471.9   614.5  1985.0  39914.5    40013
read      280.5    98.8    93.8   173.4   185.6   273.5   317.9   337.6   350.4   364.7   381.5   404.2   464.8   627.6  3012.1  57428.9    57389
read      280.5    91.8    93.8   172.6   184.8   267.3   313.8   337.7   353.4   370.1   390.9   421.1   495.3   690.9  2493.8  80343.6    80205
read      280.4    92.1    93.8   173.4   185.6   267.3   313.9   337.6   353.2   369.6   390.0   419.0   486.6   690.6  2111.4  78296.5    78152
read      276.5    69.9   101.3   180.4   194.4   279.6   305.5   317.5   326.5   336.9   347.8   369.6   421.5   541.2  1992.3  27694.4    27663
