Random waveform, random seed
Total number of intervals = 120 (18196, 35822, 61511, 61621, 10539, 74189, 84582, 36624, 101188, 43639, 87660, 11243, 41403, 101332, 44465, 109829, 59431, 57576, 73122, 106253, 25640, 96000, 101920, 68835, 85818, 27489, 91056, 67865, 55517, 9373, 17568, 94778, 39420, 56331, 36451, 36314, 38807, 43826, 84756, 25657, 65953, 51233, 35140, 52758, 52288, 29275, 68173, 98962, 20346, 56401, 57647, 12488, 79384, 45561, 51300, 9432, 51788, 20942, 96784, 60378, 26721, 93799, 72159, 98191, 76135, 38269, 33616, 54334, 85064, 62453, 34528, 52446, 61339, 9815, 94480, 71456, 43963, 83603, 77143, 66213, 11458, 93899, 80334, 40006, 35634, 61549, 67807, 33097, 43262, 63233, 17081, 98710, 84526, 52092, 101609, 82896, 64878, 45989, 104485, 16075, 82106, 11126, 75301, 97222, 69130, 107642, 54595, 61711, 56960, 10185, 13592, 41967, 28650, 68104, 92058, 104408, 92701, 96280, 83223, 87127)
Average QPS expected = 59235
Timestamp start: 1778408485571
Timestamp end: 1778410285882

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      288.4    90.0    93.8   175.8   189.3   287.3   324.1   341.6   354.1   368.1   386.5   414.2   484.7   670.1  2732.1  38885.9    38807
read      290.2   107.9    86.8   174.5   187.9   286.2   326.8   345.6   359.3   373.3   393.4   423.8   502.5   851.9  2940.8  43873.6    43826
read      288.1   119.9    93.8   172.4   185.1   269.2   316.8   342.4   360.3   380.0   404.2   449.3   581.8  1161.4  3603.7  84770.7    84756
read      278.2    81.5   101.3   180.0   194.6   280.6   306.3   318.2   327.5   337.9   349.9   371.6   429.8   591.1  2747.2  25643.1    25657
read      280.8    92.2    93.8   171.6   184.5   270.2   316.9   338.8   353.1   368.3   387.6   415.0   482.4   664.7  2686.2  65973.1    65953
read      283.2    85.9    86.8   174.2   187.5   279.1   321.2   339.6   351.9   365.5   381.9   404.3   467.5   630.6  2039.7  51167.9    51233
read      284.4    80.6    93.8   177.9   192.3   286.4   318.0   333.0   342.5   354.7   369.1   393.6   454.5   613.4  1992.7  35117.1    35140
read      283.0    94.7    93.8   173.3   186.4   277.5   320.5   339.4   352.0   365.9   382.9   406.7   472.0   665.4  2497.7  52867.3    52758
read      282.8    94.1    93.8   173.7   186.7   277.8   320.4   339.1   351.5   365.4   382.1   404.6   468.6   651.1  2484.4  52380.7    52288
read      286.1    83.6    93.8   180.3   195.1   287.1   315.8   330.2   339.8   351.1   367.1   393.8   470.3   765.4  2941.9  29267.3    29275
read      282.8    90.7    93.8   171.9   184.9   270.8   317.8   340.5   355.6   371.4   392.4   424.0   505.3   736.7  2173.7  68215.1    68173
read      287.5    99.6    93.8   175.4   189.0   271.6   315.7   340.6   358.2   377.7   401.9   440.5   545.9   813.3  2615.5  98913.5    98962
read      274.4    75.7    93.8   181.1   196.4   276.0   298.6   310.7   318.3   329.0   341.7   364.2   422.4   591.5  2961.0  20286.9    20346
read      281.7    87.0    93.8   172.3   185.3   275.1   319.5   339.0   351.9   366.1   383.4   406.8   470.8   653.5  2223.1  56368.5    56401
read      281.6    87.2    86.8   172.3   185.3   274.2   319.2   339.4   352.8   367.2   385.2   409.8   470.7   628.4  2026.2  57694.2    57647
read      262.3    79.8   101.3   180.5   195.8   261.6   281.1   291.4   298.0   308.4   318.9   340.8   400.2   621.5  2946.8  12464.0    12488
read      279.1    91.0    86.8   171.2   183.8   265.5   311.8   336.0   351.9   369.0   389.9   420.0   494.5   688.8  2150.1  79308.4    79384
read      282.9    83.6    86.8   174.7   188.3   281.6   320.2   337.4   348.4   361.7   375.4   399.8   458.3   613.6  2019.5  45663.9    45561
read      283.1    86.0    86.8   173.7   187.0   278.7   320.8   339.4   351.8   365.4   382.0   404.5   468.6   664.3  2120.8  51389.7    51300
read      254.7    77.5   101.3   178.3   192.8   253.2   271.6   282.0   289.3   296.7   310.6   330.8   390.3   614.2  3135.3   9476.3     9432
read      289.0    95.8    93.8   174.3   187.2   281.9   326.8   347.1   361.5   376.4   396.9   428.8   506.6   709.3  2712.1  51823.1    51788
read      272.7    71.1    93.8   180.9   195.9   274.6   296.8   309.0   316.7   326.5   339.5   360.7   413.3   584.0  2779.5  21027.7    20942
read      279.8    87.5    86.8   173.3   185.8   265.8   309.6   334.0   350.5   368.9   391.3   423.8   503.7   714.9  1635.4  96754.4    96784
read      280.4    89.3    86.8   172.0   184.8   271.9   317.6   338.1   351.4   366.0   383.9   408.4   469.6   633.3  2943.4  60372.5    60378
read      278.5    77.8   101.3   179.7   194.4   281.0   307.3   319.3   328.8   339.0   351.6   372.2   428.9   590.4  3019.4  26666.5    26721
read      278.3    90.3    86.8   171.8   184.3   264.1   308.2   332.7   349.1   367.5   389.5   421.2   498.2   704.7  2310.5  93804.7    93799
read      278.4    88.1    93.8   170.4   183.1   266.4   313.6   336.7   351.7   367.6   387.1   414.4   478.3   657.9  2252.0  72164.3    72159
read      279.5    93.1    80.4   172.7   185.2   265.1   308.8   333.2   349.7   368.4   391.0   423.7   503.5   719.2  2592.1  98278.0    98191
read      276.2   102.0    93.8   169.4   181.9   263.0   309.7   333.3   348.5   365.3   385.1   413.1   477.8   661.7  2597.4  76100.1    76135
read      282.3    78.9    93.8   176.7   190.8   284.0   316.9   332.0   341.7   353.4   367.8   391.1   443.8   617.0  2365.3  38198.6    38269
read      284.0    75.1    93.8   177.7   191.8   285.7   317.3   332.7   342.6   355.4   370.3   395.6   456.3   584.4  1764.7  33647.7    33616
read      287.8   102.9    93.8   173.4   185.9   278.8   324.9   346.2   361.2   377.0   398.0   430.7   507.0   711.1  3801.8  54381.9    54334
read      278.3    99.1    86.8   171.4   184.1   264.6   309.7   334.1   350.2   367.7   388.7   418.7   487.8   660.6  2395.7  84983.4    85064
