Random waveform, random seed
Total number of intervals = 120 (30791, 31616, 50769, 7057, 41381, 44185, 23177, 65077, 28062, 60607, 88124, 40638, 59694, 78113, 99310, 95000, 96501, 30992, 56828, 106080, 52414, 39816, 101506, 30559, 20973, 88000, 47947, 40253, 94352, 29332, 88303, 107513, 93120, 107015, 17017, 64172, 51842, 85691, 91307, 94526, 109425, 87706, 52117, 97496, 50989, 42439, 80425, 10577, 80828, 52257, 41244, 50042, 82346, 48066, 43897, 11554, 12389, 87616, 105888, 81789, 37732, 34935, 73806, 54451, 44395, 93880, 69477, 73697, 16901, 5183, 47578, 45051, 85088, 39484, 79682, 17436, 76254, 33821, 29295, 95603, 49952, 44134, 13631, 62088, 102267, 16120, 105389, 98941, 78770, 109400, 101101, 54552, 73956, 64143, 94971, 30793, 79164, 27293, 41071, 93528, 34982, 20922, 65233, 39877, 70061, 17874, 85810, 104980, 41880, 30253, 20470, 39085, 104846, 100619, 46182, 104060, 12356, 66765, 50357, 26809)
Average QPS expected = 59893
Timestamp start: 1778343095017
Timestamp end: 1778344895336

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      260.0   104.9    74.4   126.9   140.9   250.0   300.3   326.4   344.9   367.3   395.1   435.6   521.4   647.4  1972.5  51793.6    51842
read      256.0   128.9    74.4   122.9   136.1   228.2   284.4   315.6   339.5   369.8   411.0   478.0   634.0   989.8  3042.7  85686.6    85691
read      258.1   133.8    74.4   123.3   136.8   227.7   283.7   315.6   340.3   371.9   416.9   491.0   679.9  1081.4  2606.1  91238.1    91307
read      262.4   147.5    74.4   123.5   137.1   228.3   284.7   317.1   342.8   376.7   426.5   508.6   740.7  1278.2  3544.2  94596.0    94526
read      286.8   193.4    74.4   129.4   143.9   237.5   294.7   331.1   361.9   404.5   473.0   605.0  1003.1  1942.6  3930.1 109494.7   109425
read      259.1   138.3    74.4   122.6   135.9   228.2   285.2   317.4   342.3   374.0   419.9   494.9   682.5  1129.2  3266.8  87717.1    87706
read      261.8   112.4    74.4   126.3   140.3   250.4   302.9   330.2   349.2   371.8   400.1   442.1   529.7   679.9  2446.0  52029.1    52117
read      274.8   213.7    74.4   124.4   138.2   230.5   288.0   321.5   349.0   386.1   440.4   540.8   904.1  2550.9  7284.1  97444.9    97496
read      262.1   112.7    74.4   126.5   140.6   252.0   304.2   330.8   349.3   371.3   399.0   439.2   523.4   658.2  2265.6  51005.3    50989
read      265.4   105.6    74.4   129.9   144.9   260.7   307.6   331.5   347.8   367.7   392.4   428.6   502.9   630.4  2716.8  42391.4    42439
