Random waveform, random seed
Total number of intervals = 120 (38763, 33952, 42473, 18792, 80324, 92319, 85710, 104173, 19872, 70934, 81027, 32014, 17838, 11693, 47732, 5194, 20883, 53671, 67697, 83136, 92861, 67209, 62203, 25575, 51858, 39612, 22695, 49887, 96795, 33121, 24486, 14495, 97400, 12085, 22267, 105535, 23026, 43502, 106287, 66809, 61258, 8427, 65773, 76808, 109169, 91048, 33417, 64931, 95649, 95460, 59282, 79084, 46354, 45740, 18915, 48583, 19200, 105440, 7648, 106842, 49996, 47193, 86224, 18623, 74571, 5911, 95815, 37660, 95831, 96533, 38530, 16580, 76406, 70562, 34331, 6180, 108895, 106261, 42171, 95154, 72047, 101318, 24285, 96276, 26086, 28396, 104464, 93132, 95137, 91402, 105998, 38990, 77165, 18662, 102990, 93918, 80259, 49982, 22196, 64847, 52648, 86649, 28691, 26123, 25724, 38210, 96880, 95862, 103564, 86608, 70016, 95905, 94752, 33736, 81731, 103931, 47214, 15299, 61765, 28622)
Average QPS expected = 59748
Timestamp start: 1778346728972
Timestamp end: 1778348529276

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      258.5   109.2    74.4   129.6   144.6   253.8   296.0   317.9   333.9   351.9   374.6   409.8   485.1   717.2  2913.8  38703.3    38763
read      261.1    94.4    74.4   135.8   151.7   257.2   296.7   317.7   332.9   349.7   371.7   404.1   473.8   612.3  2702.2  34023.5    33952
read      258.4   101.3    80.4   128.7   143.2   252.1   297.5   320.7   337.8   357.4   381.5   418.3   493.7   638.2  2495.1  42479.3    42473
read      251.1    82.7    80.4   144.3   162.0   247.8   278.1   294.6   307.0   320.2   339.3   367.9   429.8   535.5  2505.0  18853.4    18792
read      253.6   128.0    74.4   122.1   135.1   228.0   284.2   314.9   338.3   367.4   405.6   467.6   598.2   880.2  2843.9  80268.5    80324
read      258.0   133.2    74.4   123.7   137.0   227.4   282.8   314.3   338.8   370.4   417.3   494.8   680.2  1079.2  2617.7  92256.5    92319
read      252.5   129.4    74.4   121.2   134.1   224.9   280.0   310.9   334.3   364.1   404.7   471.9   629.0  1016.4  3402.0  85660.5    85710
read      269.2   153.1    74.4   127.8   141.4   232.0   286.2   318.0   343.9   379.8   435.7   537.1   810.1  1381.9  2656.9 104152.2   104173
read      252.7    96.1    74.4   143.6   161.3   248.7   280.0   296.4   309.3   323.0   342.2   371.2   434.7   568.2  3345.4  19873.9    19872
read      247.9   112.5    74.4   120.3   132.9   228.0   282.6   311.4   332.4   358.0   391.4   442.5   544.3   732.8  2542.1  70832.8    70934
read      253.5   128.3    74.4   122.0   134.8   226.9   282.9   313.2   336.1   365.0   404.6   470.7   621.2  1002.7  3175.1  81020.7    81027
read      254.3    95.1    80.4   131.9   147.6   251.5   288.7   308.3   321.4   338.7   360.6   393.9   464.6   624.7  2502.7  31994.8    32014
read      246.1    82.9    80.4   143.5   161.2   241.9   271.1   287.2   298.1   312.8   331.0   360.2   424.8   541.6  3443.1  17824.2    17838
read      248.2    86.2    86.8   154.0   171.3   242.2   269.3   284.4   295.0   309.2   326.7   355.6   424.3   608.0  2528.0  11726.3    11693
read      259.4   105.5    74.4   127.3   141.2   250.2   299.4   324.6   342.7   364.3   391.1   430.8   514.3   679.9  2321.5  47746.5    47732
read      239.5    83.2    86.8   161.4   174.5   231.7   255.2   269.1   279.0   291.8   309.1   337.1   403.7   927.5  2244.5   5163.7     5194
read      257.0    90.1    74.4   143.3   161.5   254.0   286.4   303.9   316.5   332.1   350.7   380.9   444.1   556.6  3061.9  20934.1    20883
read      257.5   109.6    74.4   124.5   138.5   245.2   298.1   325.5   344.6   367.3   395.3   435.4   515.4   658.1  2470.4  53680.1    53671
read      253.4   129.2    74.4   122.0   135.3   232.6   288.6   318.2   339.9   365.7   398.4   448.4   548.4   802.3  4102.2  67705.1    67697
read      254.5   134.6    74.4   122.5   135.6   227.1   283.3   314.6   338.2   367.6   407.6   470.9   615.9  1040.1  3577.4  83101.3    83136
read      256.7   145.5    74.4   122.0   135.1   224.4   280.0   312.0   336.8   368.7   415.0   492.6   688.9  1223.0  4110.9  92815.4    92861
read      251.2   126.3    74.4   121.3   134.2   231.3   285.7   314.1   334.9   360.1   392.9   443.5   549.6   947.5  3775.0  67166.5    67209
read      251.1   124.3    74.4   122.6   135.6   234.8   286.9   313.3   332.7   356.1   387.4   434.4   536.0   790.4  3811.9  62128.6    62203
read      254.2    94.1    80.4   137.6   153.9   251.8   285.0   302.6   315.5   330.9   349.6   380.6   446.5   596.5  3152.3  25556.7    25575
read      257.0   114.9    74.4   125.9   139.7   245.9   296.9   322.9   341.5   363.3   390.4   429.8   508.4   647.5  3073.9  51922.7    51858
read      259.1    99.9    74.4   130.8   145.8   254.5   297.7   319.8   336.2   354.6   377.5   413.2   485.1   604.3  2445.0  39569.7    39612
read      262.9    89.8    80.4   145.0   163.2   259.6   294.1   312.8   325.9   341.6   362.4   393.1   457.7   585.0  2564.9  22697.3    22695
read      258.7   100.4    74.4   127.7   141.6   248.6   299.0   325.1   343.4   365.2   392.2   431.1   507.8   624.0  1700.6  49842.1    49887
read      263.3   150.9    74.4   125.0   138.6   228.8   283.8   316.0   341.7   375.6   427.0   513.1   741.9  1303.9  3404.0  96737.3    96795
read      263.5    97.9    74.4   135.4   151.7   260.2   301.1   322.0   337.6   355.2   376.6   409.9   475.2   583.1  2454.4  33078.3    33121
read      265.3   106.3    80.4   142.8   160.9   262.0   298.0   317.3   331.3   346.4   368.0   399.1   465.6   589.5  3048.2  24456.7    24486
read      258.9    91.6    86.8   155.2   174.0   253.5   283.4   299.7   312.3   326.5   345.1   375.1   443.4   585.6  3166.4  14497.1    14495
read      254.7   136.0    74.4   122.1   135.3   223.2   276.3   307.5   331.5   363.7   410.9   493.2   696.2  1166.9  3107.5  97292.2    97400
read      243.6   131.7    80.4   151.9   168.4   236.2   262.7   276.7   288.1   300.5   317.7   344.9   405.5   766.7  6128.6  12056.2    12085
read      258.0    93.6    80.4   142.4   160.7   254.2   287.4   305.5   318.2   334.5   354.5   386.6   454.8   581.5  3100.0  22277.3    22267
read      267.8   151.9    74.4   127.1   140.7   230.8   284.3   316.1   341.9   377.5   434.4   537.1   805.0  1339.3  3085.8 105562.1   105535
read      260.8   105.8    74.4   142.4   160.7   257.1   291.3   310.0   322.7   339.0   359.7   391.5   459.2   588.4  3171.7  23016.5    23026
read      259.4   101.9    74.4   128.0   142.4   252.5   299.1   323.3   340.8   361.4   387.0   425.5   502.3   632.2  2365.3  43569.6    43502
read      274.7   182.6    74.4   126.4   140.3   230.6   285.3   318.3   345.4   385.2   449.2   569.2   912.2  1856.4  4105.5 106281.3   106287
read      254.8   116.4    74.4   122.7   136.0   234.7   290.5   320.0   341.9   368.1   401.0   452.1   551.6   795.3  2804.5  66818.3    66809
read      257.2   128.5    74.4   123.2   136.9   239.1   293.6   322.1   343.2   368.4   399.9   448.0   546.5  1032.8  3661.8  61274.2    61258
