Random waveform, random seed
Total number of intervals = 120 (74266, 21893, 9943, 36049, 105969, 80996, 41991, 15710, 38410, 99820, 52774, 105299, 49776, 16281, 78941, 50314, 31559, 38495, 51139, 30230, 66573, 90561, 39624, 28990, 14880, 55849, 25274, 31443, 76504, 41991, 6366, 82022, 75406, 68314, 46132, 95352, 27066, 6298, 92300, 88446, 99540, 75903, 22252, 57659, 105388, 72049, 32298, 64401, 10074, 25669, 50813, 12901, 77226, 104758, 90680, 56485, 106029, 39979, 104520, 75675, 74775, 72170, 78940, 29030, 49545, 19821, 47105, 64729, 62066, 42726, 82027, 52415, 62550, 86949, 37450, 31184, 32649, 78075, 86691, 106273, 35188, 19451, 23667, 107244, 88675, 59318, 60253, 12587, 51729, 87383, 74634, 17408, 17565, 39550, 39729, 8484, 80329, 75984, 22834, 82316, 73910, 13587, 62165, 24235, 100526, 50019, 8325, 40911, 15516, 36554, 87904, 9275, 43727, 102273, 20570, 27156, 52914, 46615, 25695, 73392)
Average QPS expected = 54085
Timestamp start: 1778350362786
Timestamp end: 1778352163093

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      255.8   129.3    74.4   122.7   136.2   233.0   289.5   319.8   342.4   369.5   403.6   458.3   569.0   990.9  3602.7  74252.1    74266
read      267.6    86.1    80.4   147.1   166.1   263.8   299.3   318.4   332.7   348.1   369.7   400.9   467.9   573.0  2125.8  21877.4    21893
read      254.1    79.4    86.8   161.1   177.9   248.0   275.2   290.9   302.0   315.7   334.0   362.9   428.2   695.2  2477.8   9901.3     9943
read      266.1   102.0    74.4   134.5   150.9   261.5   305.0   327.2   343.1   362.5   386.2   421.2   492.3   614.1  2952.7  36046.8    36049
read      272.2   159.5    74.4   127.7   141.5   232.8   288.2   321.1   348.1   386.2   444.2   548.3   837.0  1463.5  3163.2 105940.0   105969
read      253.2   116.9    74.4   122.3   135.6   229.0   284.7   315.3   338.5   366.9   404.0   464.5   585.7   828.7  1980.6  81137.2    80996
read      260.6    99.6    74.4   129.6   144.6   254.6   300.5   323.7   340.7   360.5   384.9   421.2   493.3   620.3  2257.8  42020.9    41991
read      255.0    95.6    80.4   152.3   170.9   249.7   278.6   294.9   307.6   321.1   341.0   370.5   435.8   550.8  3356.1  15707.9    15710
read      261.3    98.6    74.4   131.5   147.3   256.5   299.0   320.8   337.2   356.0   379.6   417.1   493.1   646.0  2422.5  38523.3    38410
read      260.7   147.0    74.4   123.0   136.6   226.6   281.0   312.8   337.8   371.2   423.2   512.1   743.6  1283.6  3511.4  99730.3    99820
read      257.1   108.1    74.4   124.7   138.8   245.4   296.1   322.1   341.2   363.6   391.8   433.5   522.5   700.6  2546.5  52753.5    52774
read      259.8   149.5    68.9   122.6   136.1   224.5   277.8   309.6   334.6   368.5   421.7   514.8   767.2  1372.9  3392.5 105356.3   105299
read      255.8   111.0    74.4   125.4   139.5   246.7   295.0   319.4   337.4   358.4   385.2   425.9   506.9   641.8  3069.8  49855.0    49776
read      252.9    79.8    74.4   149.3   167.5   248.4   277.4   293.9   306.3   319.8   339.7   369.7   434.9   543.4  2912.2  16302.3    16281
read      251.5   117.1    74.4   121.4   134.4   228.6   283.3   312.9   335.1   362.9   400.1   460.4   579.8   823.3  2262.2  78905.1    78941
read      255.4   107.9    74.4   124.5   138.7   245.8   293.9   318.5   336.7   358.1   385.6   427.5   510.6   676.4  2611.6  50220.7    50314
read      257.4    96.1    74.4   133.6   150.1   254.3   291.5   311.4   325.4   342.1   364.8   398.6   469.9   590.8  2597.2  31592.3    31559
