#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      262.6   131.3    86.8   145.8   161.1   246.3   288.4   312.0   329.2   349.2   375.8   419.4   519.2  1458.7  4407.7  29911.5    30000  1777405987765  1777405997901
read      269.5   116.1    80.4   149.5   164.7   254.3   298.1   322.4   340.6   361.9   389.1   431.4   533.1   866.8  3852.7  29983.5    30005  1777405999414  1777406009534
read      266.5   129.2    80.4   145.7   161.4   249.8   295.0   320.4   338.9   360.6   388.1   429.6   522.0  1103.0  4751.4  29964.6    30010  1777406011047  1777406021150
read      258.4   123.3    86.8   145.2   160.6   243.8   284.5   307.5   323.9   343.6   369.0   407.0   496.2   942.2  4541.8  30125.6    30015  1777406022664  1777406032766
read      267.2   125.7    86.8   149.4   164.2   251.2   294.7   319.2   337.2   358.1   384.6   426.5   525.1  1193.7  4667.4  30161.0    30020  1777406034279  1777406044383
read      266.1   142.8    80.4   146.7   161.7   249.0   291.6   315.2   332.6   352.7   379.0   422.8   538.9  1721.2  5413.4  30071.0    30025  1777406045896  1777406055995
read      271.4   121.5    80.4   149.0   164.7   256.7   300.9   325.3   342.9   364.1   391.3   433.4   535.0   878.0  4045.0  29942.6    30030  1777406057509  1777406067609
read      263.1   125.2    80.4   145.6   161.2   247.6   289.3   312.9   330.3   350.7   377.2   420.7   520.1  1295.4  4141.9  30057.3    30035  1777406069123  1777406079220
read      256.8   106.5    80.4   143.9   159.0   242.4   283.4   306.6   323.1   343.3   369.1   409.0   500.8   835.2  4095.1  30061.6    30040  1777406080733  1777406090832
read      264.0   129.1    80.4   149.5   164.1   248.4   291.3   315.0   332.2   351.8   375.6   414.9   502.5  1350.9  4340.1  30053.0    30045  1777406092346  1777406102447
read      265.8   147.9    80.4   146.2   161.5   250.3   293.6   317.2   334.9   355.4   381.5   424.0   524.7  1000.0  7629.0  30077.3    30050  1777406103958  1777406114059
read      266.2   109.2    74.4   146.7   162.4   251.4   295.8   320.2   338.3   359.3   385.8   427.0   521.3   856.7  3323.1  30131.4    30055  1777406115571  1777406125671
read      266.2   127.3    80.4   147.3   162.8   250.5   294.0   318.2   336.2   356.9   383.3   425.8   520.8  1060.5  5753.9  30126.5    30060  1777406127184  1777406137287
read      260.6   125.1    80.4   144.6   159.4   244.2   288.4   313.1   330.9   351.3   376.8   417.3   502.8   930.1  4395.3  30049.3    30065  1777406138800  1777406148906
read      256.7   101.4    86.8   145.1   160.2   242.7   283.5   306.6   322.9   343.0   368.4   406.6   496.6   797.4  3141.4  30068.8    30070  1777406150418  1777406160521
read      262.9   113.2    86.8   147.6   162.5   247.8   290.9   314.8   332.1   351.7   376.1   416.5   506.6  1148.6  3583.4  30022.6    30075  1777406162034  1777406172131
read      264.6   105.6    80.4   149.5   164.9   250.2   292.1   315.7   333.1   353.2   379.4   420.7   509.6   820.9  3333.3  30134.9    30080  1777406173644  1777406183745
read      260.3   101.3    86.8   150.2   164.9   246.9   287.0   309.6   325.7   345.1   370.1   408.5   495.0   718.2  2955.1  30169.8    30085  1777406185258  1777406195361
read      266.5   114.0    80.4   153.0   168.4   251.8   293.1   316.9   334.3   354.3   379.5   419.7   505.8   792.4  4063.5  30161.4    30090  1777406196873  1777406206973
read      264.6   139.7    80.4   147.1   162.1   248.0   289.6   313.0   329.9   349.5   375.2   419.2   530.1  1808.7  5127.1  30051.1    30095  1777406208486  1777406218589
read      259.7   153.0    80.4   144.7   159.3   242.1   285.0   308.7   325.2   344.6   370.1   408.3   508.6  1725.5  8133.8  30053.5    30100  1777406220100  1777406230204
read      268.3   112.6    80.4   143.7   160.2   253.4   301.9   327.5   345.0   366.0   392.4   431.5   521.1   746.6  4107.8  30111.7    30105  1777406231716  1777406241819
read      270.6   109.9    86.8   154.3   169.6   256.3   299.4   323.3   340.5   360.7   385.7   424.6   509.5   865.9  3704.8  30166.6    30110  1777406243332  1777406253430
read      279.7   112.9    80.4   150.4   166.8   263.1   313.5   341.4   361.1   383.2   410.2   453.9   545.4  1029.4  3205.7  30107.0    30115  1777406254944  1777406265045
read      277.1   113.6    80.4   151.5   169.2   263.0   308.0   332.9   350.6   371.7   398.4   439.3   534.4   997.6  3837.2  30104.4    30120  1777406266557  1777406276658
read      274.8   113.3    80.4   155.1   172.7   261.5   303.7   327.3   344.3   365.3   391.9   431.7   516.2   718.0  3652.9  30097.3    30125  1777406278170  1777406288272
