#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      273.0   127.5    86.8   148.8   163.8   256.0   302.3   327.8   345.6   367.8   395.8   438.0   543.2  1562.7  4048.0  29937.4    30000  1777405611457  1777405621604
read      264.5   116.1    80.4   145.0   160.2   248.4   294.2   318.9   337.2   358.3   384.9   425.7   513.0  1212.9  3768.1  30048.1    30005  1777405623117  1777405633253
read      264.3   129.1    86.8   148.1   163.3   248.0   290.4   314.6   332.4   353.2   379.9   422.2   512.3  1208.6  5565.9  29983.0    30010  1777405634765  1777405644870
read      269.2   120.2    86.8   150.2   165.2   253.2   297.2   321.8   339.8   361.0   388.1   429.5   524.6  1230.4  4000.3  30019.7    30015  1777405646384  1777405656486
read      262.6   116.6    80.4   145.1   160.3   245.5   289.4   314.5   333.2   355.2   383.4   426.9   525.1   988.6  3703.9  29947.3    30020  1777405657999  1777405668110
read      278.9   151.9    80.4   149.3   164.7   259.6   307.3   333.4   351.9   373.6   401.9   449.0   577.3  2067.8  4874.5  30029.1    30025  1777405669623  1777405679728
read      270.0   124.7    80.4   149.5   164.7   254.0   297.8   322.1   340.2   361.6   388.9   431.4   530.9  1379.1  4940.7  29956.2    30030  1777405681243  1777405691356
read      271.4   124.1    86.8   151.3   166.8   255.0   298.2   322.7   341.0   362.7   390.4   433.2   534.1  1402.5  3824.8  30092.2    30035  1777405692870  1777405702985
read      273.6   124.5    86.8   149.6   164.7   256.6   302.8   328.3   346.3   368.4   396.8   441.3   549.1  1311.6  4333.4  29961.6    30040  1777405704498  1777405714606
read      282.4   134.4    80.4   152.8   169.2   265.1   312.6   339.0   358.4   381.2   410.9   460.1   571.1  1209.5  4747.3  30036.0    30045  1777405716120  1777405726228
read      263.6   111.1    80.4   147.1   162.2   247.9   290.5   314.7   332.6   353.6   380.9   423.4   515.3  1186.9  3875.5  30052.7    30050  1777405727741  1777405737846
read      271.1   128.4    80.4   146.1   162.1   254.2   300.1   325.5   343.8   366.3   394.8   437.4   541.5  1487.4  3777.6  29924.2    30055  1777405739363  1777405749466
read      268.8   117.4    80.4   145.6   161.6   253.2   297.5   322.4   341.0   363.1   391.1   434.4   542.2  1094.9  4029.9  30106.6    30060  1777405750981  1777405761089
read      267.9   126.5    80.4   144.4   160.6   251.3   295.3   320.1   339.0   361.3   390.1   435.0   541.0  1299.2  4207.8  30144.5    30065  1777405762603  1777405772705
read      261.3   115.0    86.8   145.1   160.4   246.1   288.4   312.1   329.5   349.9   376.2   419.7   512.3  1044.0  4039.8  30109.0    30070  1777405774219  1777405784321
read      266.0   129.1    80.4   143.3   159.3   249.5   293.0   317.8   336.3   358.2   386.6   431.7   539.3  1240.3  4828.2  30127.7    30075  1777405785833  1777405795940
read      264.0   125.9    86.8   142.1   157.5   248.6   292.7   316.8   334.7   355.8   383.2   427.0   532.7  1241.3  4176.0  30076.5    30080  1777405797452  1777405807559
read      260.5   118.9    80.4   146.0   161.9   245.0   286.1   309.8   326.9   346.7   373.5   416.3   507.3   939.2  4069.0  30146.3    30085  1777405809072  1777405819175
read      275.5   136.4    86.8   152.8   169.3   259.7   303.7   328.8   346.4   368.5   396.4   439.5   539.9   883.1  5122.3  30071.1    30090  1777405820688  1777405830787
read      274.6   149.1    86.8   148.5   164.0   256.0   300.8   325.9   343.9   366.1   394.8   440.3   557.3  2127.9  4926.2  30136.1    30095  1777405832299  1777405842402
read      283.6   176.6    80.4   146.5   162.7   259.8   307.4   334.5   354.5   378.7   411.5   468.7   657.3  2670.3  6111.4  30076.9    30100  1777405843914  1777405854018
read      276.6   126.5    80.4   144.5   161.6   260.5   310.8   338.0   357.3   379.3   406.6   451.4   545.0  1038.6  4184.2  30196.5    30105  1777405855531  1777405865645
read      258.0   119.4    80.4   141.5   156.0   240.9   286.1   311.1   329.1   350.0   377.3   420.6   513.5   996.8  4569.0  30024.2    30110  1777405867157  1777405877260
read      259.7   120.0    80.4   138.8   154.2   244.1   288.9   313.6   331.7   352.8   379.8   423.5   518.1  1015.1  3894.7  30106.4    30115  1777405878774  1777405888877
read      286.1   136.1    74.4   150.6   168.9   270.6   318.2   343.9   363.0   385.2   414.0   460.9   576.2  1358.7  5245.2  30169.8    30120  1777405890389  1777405900490
read      302.9   134.9    93.8   169.8   188.3   285.0   331.4   357.8   376.6   400.0   431.4   483.6   617.0  1324.8  4729.4  30112.0    30125  1777405902003  1777405912103
