#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      282.2   146.5    80.4   151.5   168.0   261.6   309.2   336.6   356.6   380.1   410.7   461.0   600.1  1904.5  5083.8  29834.2    30000  1777405199434  1777405209635
read      266.9   116.5    86.8   146.3   161.3   247.5   294.1   321.0   341.2   364.8   394.6   439.6   548.2   946.4  3872.0  29971.6    30005  1777405211152  1777405221277
read      272.5   121.8    80.4   149.4   164.2   252.8   300.4   327.9   347.3   370.9   400.5   448.5   562.8  1118.4  4033.9  30000.9    30010  1777405222791  1777405232891
read      269.5   120.3    80.4   148.5   163.5   249.8   296.3   323.3   343.0   366.4   396.1   440.8   547.4  1185.3  3852.6  29987.0    30015  1777405234403  1777405244500
read      270.1   122.6    80.4   148.7   163.5   251.4   297.6   324.0   343.2   366.3   395.0   438.9   545.9  1220.9  3812.9  30005.1    30020  1777405246012  1777405256115
read      274.4   132.6    80.4   146.2   161.7   253.1   300.5   328.1   347.7   372.0   403.1   457.0   626.5  1445.1  3496.9  29977.9    30025  1777405257628  1777405267730
read      272.4   134.7    86.8   146.7   162.1   252.0   299.5   326.5   345.8   369.3   399.3   447.6   570.7  1646.7  4172.9  30092.4    30030  1777405269244  1777405279345
read      272.5   118.7    86.8   148.0   163.6   254.6   301.3   328.2   347.4   371.2   400.9   448.0   548.0  1006.9  3919.7  30042.2    30035  1777405280859  1777405290957
read      270.0   114.2    80.4   147.8   163.3   252.3   298.6   324.9   343.9   366.9   395.8   439.2   539.3  1244.3  3154.8  29990.5    30040  1777405292471  1777405302569
read      276.7   117.6    80.4   150.6   166.7   259.2   306.4   333.4   352.9   375.9   404.7   453.1   549.1  1122.6  3814.2  30068.8    30045  1777405304082  1777405314180
read      271.8   127.7    80.4   145.5   161.6   252.8   300.2   327.7   347.3   371.0   400.8   448.3   549.1  1359.6  4031.4  30069.4    30050  1777405315695  1777405325795
read      266.5   111.5    80.4   147.8   163.0   248.5   293.4   319.5   339.1   362.2   391.5   434.2   529.3  1009.3  3182.2  30091.9    30055  1777405327308  1777405337406
read      263.5   113.6    80.4   145.7   161.3   245.7   290.6   316.5   335.8   358.3   386.8   428.5   511.1  1025.9  3390.9  30090.0    30060  1777405338918  1777405349016
read      269.2   114.4    80.4   148.8   164.0   250.5   296.9   324.6   344.0   367.3   396.6   439.7   530.4  1074.1  3464.2  30129.8    30065  1777405350528  1777405360627
read      271.0   114.4    86.8   150.5   166.1   254.0   299.4   325.8   344.3   366.8   394.7   435.8   528.9  1089.2  3533.7  30077.4    30070  1777405362140  1777405372239
read      269.7   126.5    80.4   148.1   163.3   251.7   297.1   323.5   342.7   365.5   394.6   436.8   532.0  1533.8  4148.4  30057.4    30075  1777405373753  1777405383855
read      270.8   123.0    86.8   150.0   165.7   253.1   297.9   324.2   343.6   366.8   396.0   439.7   532.4   951.4  4924.3  30077.8    30080  1777405385368  1777405395468
read      269.5   113.7    80.4   147.2   163.7   252.4   297.0   323.3   342.7   365.9   395.2   439.6   537.2   950.6  3448.5  30143.6    30085  1777405396980  1777405407078
read      259.0   101.8    86.8   148.3   162.9   242.6   284.7   309.1   326.7   347.4   374.4   416.3   500.3   842.3  2890.3  30085.8    30090  1777405408591  1777405418689
read      267.3   148.6    80.4   146.4   161.1   246.7   292.1   318.1   337.4   360.0   388.7   431.9   541.0  1935.7  5033.4  30020.0    30095  1777405420201  1777405430301
read      270.0   164.7    80.4   144.9   159.8   246.9   293.4   320.3   340.1   363.6   393.6   439.8   563.3  2338.6  6094.6  30146.4    30100  1777405431814  1777405441921
read      269.2   120.6    80.4   144.9   160.6   251.5   299.6   326.5   345.4   368.5   397.3   440.4   535.1  1158.4  3874.6  30025.5    30105  1777405443433  1777405453534
read      260.7   113.0    80.4   142.1   157.0   243.0   290.2   316.3   335.4   357.7   385.8   428.2   513.5   793.2  3808.5  30106.0    30110  1777405455047  1777405465148
read      284.2   122.1    80.4   149.5   166.2   268.8   319.8   346.8   366.7   389.7   418.9   463.4   556.2   924.7  4127.0  30108.0    30115  1777405466661  1777405476761
read      283.1   113.5    80.4   155.0   173.6   269.0   314.9   340.4   359.0   380.4   407.4   451.7   540.3   777.6  3795.6  30067.3    30120  1777405478274  1777405488375
read      296.1   112.8    80.4   166.7   184.5   281.9   328.5   354.5   372.7   395.1   423.6   466.4   555.6   888.2  3150.6  30064.8    30125  1777405489888  1777405499990
read      285.5   121.0    80.4   158.9   177.5   271.9   316.3   341.0   359.2   380.2   407.2   451.0   540.5   777.8  4205.3  30075.5    30130  1777405501503  1777405511608
read      290.0   120.1    80.4   162.2   179.6   275.4   321.1   346.3   365.3   387.3   415.3   459.3   549.8   809.3  4066.8  30174.4    30135  1777405513120  1777405523223
read      276.9   110.0    80.4   154.5   171.5   261.7   306.6   332.1   350.2   372.0   400.3   444.1   533.4   743.5  3156.7  30099.1    30140  1777405524737  1777405534841
